epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66672,2.48003,6.21092,1.91099,0.00033,0.1,0.00019,7e-05,2.40336,7.52223,1.52064,0,0,0
2,5.46923,1.78821,5.73924,1.60342,0.00033,0.1,0.00019,7e-05,2.34201,7.21848,1.52213,1.802e-05,1.802e-05,1.802e-05
3,8.2585,2.40243,6.23053,1.71591,0.00033,0.1,0.00019,9e-05,2.25194,7.13738,1.49974,3.208e-05,3.208e-05,3.208e-05
4,10.9668,2.06806,5.71584,1.70444,0.00033,0.1,0.00019,9e-05,2.23492,7.08442,1.49256,4.218e-05,4.218e-05,4.218e-05
5,13.6682,1.88083,5.15137,1.59941,0.00033,0.1,0.00019,9e-05,2.17554,7.02439,1.47646,4.832e-05,4.832e-05,4.832e-05
6,16.4479,1.39273,4.80055,1.20671,0.00067,0.2,0.00041,0.00024,2.12167,7.21252,1.42955,5.05e-05,5.05e-05,5.05e-05
7,19.1611,1.59185,5.073,1.31428,0.00067,0.2,0.00041,0.00024,2.00691,7.26571,1.39286,4.872e-05,4.872e-05,4.872e-05
8,21.8764,1.24722,4.64459,1.19536,0.001,0.3,0.00068,0.00027,1.91901,7.2388,1.37377,4.298e-05,4.298e-05,4.298e-05
9,24.568,1.38504,4.36069,1.183,0.00067,0.2,0.00041,0.00025,1.87399,7.21059,1.35823,3.328e-05,3.328e-05,3.328e-05
10,27.2487,1.26333,4.29687,1.18657,0.00067,0.2,0.00042,0.00025,1.89717,7.18066,1.35311,1.962e-05,1.962e-05,1.962e-05
